gen,social_strat,N,mean_move,mean_assoc,mean_intake,prop_infec,repl,cost,regen,local,infect_percent,prop,gen_bin,gen_abs
205,agent avoiding,3,45,64.6666666666667,11.0009996096293,0,1,0.25,50,1,0,0.006,200,-2800
210,handler tracking,21,41.4761904761905,79.8571428571429,11.9533804995673,0,1,0.25,50,1,0,0.042,200,-2800
210,agent tracking,472,27.1610169491525,14234.2012711864,14.8696435229274,0,1,0.25,50,1,0,0.944,200,-2800
210,non-handler tracking,7,39.7142857142857,10952.1428571429,12.5724280902318,0,1,0.25,50,1,0,0.014,200,-2800
215,agent tracking,484,25.8636363636364,15918.1487603306,15.1704209392721,0,1,0.25,50,1,0,0.968,200,-2800
215,non-handler tracking,6,54.8333333333333,11809.8333333333,9.33433295505044,0,1,0.25,50,1,0,0.012,200,-2800
215,handler tracking,10,29.9,1161.5,14.5009994506836,0,1,0.25,50,1,0,0.02,200,-2800
220,agent tracking,490,24.9979591836735,15186.4,15.3316116967027,0,1,0.25,50,1,0,0.98,200,-2800
220,non-handler tracking,5,37.6,7464.4,13.0009994506836,0,1,0.25,50,1,0,0.01,200,-2800
220,handler tracking,4,61.25,522.5,7.75099956989288,0,1,0.25,50,1,0,0.008,200,-2800
220,agent avoiding,1,35,65,13.0009994506836,0,1,0.25,50,1,0,0.002,200,-2800
225,agent tracking,480,25.26875,15391.5333333333,15.2489161193371,0,1,0.25,50,1,0,0.96,200,-2800
225,non-handler tracking,14,47.5714285714286,5161.71428571429,10.7152853352683,0,1,0.25,50,1,0,0.028,200,-2800
225,handler tracking,5,73.6,858,5.40099975129124,0,1,0.25,50,1,0,0.01,200,-2800
225,agent avoiding,1,45,57,11.0009994506836,0,1,0.25,50,1,0,0.002,200,-2800
230,agent tracking,489,26.2638036809816,14458.7934560327,15.0725740968592,0,1,0.25,50,1,0,0.978,200,-2800
230,handler tracking,8,58.75,999.5,8.37599963856337,0,1,0.25,50,1,0,0.016,200,-2800
230,non-handler tracking,3,43,2775,11.667666276296,0,1,0.25,50,1,0,0.006,200,-2800
235,agent tracking,484,24.8429752066116,14789.9008264463,15.3377763173304,0,1,0.25,50,1,0,0.968,200,-2800
235,non-handler tracking,4,69.25,139.25,6.25099972536555,0,1,0.25,50,1,0,0.008,200,-2800
235,handler tracking,11,50.9090909090909,354.363636363636,10.1828177625483,0,1,0.25,50,1,0,0.022,200,-2800
235,agent avoiding,1,30,71,14.0009994506836,0,1,0.25,50,1,0,0.002,200,-2800
240,agent tracking,465,24.2602150537634,14910.6043010753,15.4440102066041,0,1,0.25,50,1,0,0.93,200,-2800
240,handler tracking,18,56.8888888888889,312.388888888889,8.88988852903842,0,1,0.25,50,1,0,0.036,200,-2800
240,non-handler tracking,17,39.4117647058824,9307,12.4127642407137,0,1,0.25,50,1,0,0.034,200,-2800
245,agent tracking,482,25.3672199170125,15883.4709543568,15.1814973772314,0,1,0.25,50,1,0,0.964,200,-2800
245,non-handler tracking,7,47.7142857142857,8770,10.858142375946,0,1,0.25,50,1,0,0.014,200,-2800
245,handler tracking,11,51.0909090909091,259.454545454545,10.0919087649302,0,1,0.25,50,1,0,0.022,200,-2800
250,agent tracking,486,25.1502057613169,16348.0411522634,15.2129336121172,0,1,0.25,50,1,0,0.972,200,-2800
250,agent avoiding,1,35,69,14.0009994506836,0,1,0.25,50,1,0,0.002,200,-2800
250,non-handler tracking,7,64,2497.28571428571,7.42957111100467,0,1,0.25,50,1,0,0.014,200,-2800
250,handler tracking,6,50,252,10.3343328755776,0,1,0.25,50,1,0,0.012,200,-2800
255,agent tracking,487,24.6611909650924,16413.4907597536,15.3500754260429,0,1,0.25,50,1,0,0.974,200,-2800
255,non-handler tracking,9,40.2222222222222,6975.77777777778,12.1121106147766,0,1,0.25,50,1,0,0.018,200,-2800
255,handler tracking,4,23.75,286.75,16.0009994506836,0,1,0.25,50,1,0,0.008,200,-2800
260,agent tracking,487,24.558521560575,16568.3778234086,15.3521288141333,0,1,0.25,50,1,0,0.974,200,-2800
260,non-handler tracking,5,36.2,3744,13.000999546051,0,1,0.25,50,1,0,0.01,200,-2800
260,handler tracking,7,57.4285714285714,3649.57142857143,9.00099961431364,0,1,0.25,50,1,0,0.014,200,-2800
260,agent avoiding,1,19,124,17.0009994506836,0,1,0.25,50,1,0,0.002,200,-2800
265,agent tracking,482,24.9647302904564,16139.5124481328,15.2727836874037,0,1,0.25,50,1,0,0.964,200,-2800
265,non-handler tracking,15,45.9333333333333,4232.6,11.1343328842195,0,1,0.25,50,1,0,0.03,200,-2800
265,handler tracking,3,71,2443.33333333333,6.00099976857503,0,1,0.25,50,1,0,0.006,200,-2800
270,agent tracking,489,25.5930470347648,14868.2965235174,15.1461937290048,0,1,0.25,50,1,0,0.978,200,-2800
270,handler tracking,3,58.3333333333333,204.333333333333,9.00099960962931,0,1,0.25,50,1,0,0.006,200,-2800
270,non-handler tracking,8,55.5,1291.5,9.25099970400333,0,1,0.25,50,1,0,0.016,200,-2800
275,agent tracking,484,25.1942148760331,14500.6466942149,15.2613300345181,0,1,0.25,50,1,0,0.968,200,-2800
275,handler tracking,11,52.9090909090909,481.909090909091,9.72827235794499,0,1,0.25,50,1,0,0.022,200,-2800
275,non-handler tracking,5,47.8,7330.8,10.800999546051,0,1,0.25,50,1,0,0.01,200,-2800
280,agent tracking,491,24.7433808553972,14447.2179226069,15.3227917113761,0,1,0.25,50,1,0,0.982,200,-2800
280,non-handler tracking,3,44.3333333333333,7111,11.3343327840169,0,1,0.25,50,1,0,0.006,200,-2800
280,handler tracking,6,34,714.833333333333,13.8343328634898,0,1,0.25,50,1,0,0.012,200,-2800
285,agent tracking,489,24.8466257668712,13499.282208589,15.3506927072413,0,1,0.25,50,1,0,0.978,200,-2800
285,non-handler tracking,5,44.2,7575.4,11.4009996414185,0,1,0.25,50,1,0,0.01,200,-2800
285,handler tracking,6,58.8333333333333,267.166666666667,8.50099964158532,0,1,0.25,50,1,0,0.012,200,-2800
290,agent tracking,495,24.1212121212121,15139.4626262626,15.4696863193705,0,1,0.25,50,1,0,0.99,200,-2800
290,handler tracking,4,37.75,2865.25,13.0009994506836,0,1,0.25,50,1,0,0.008,200,-2800
290,non-handler tracking,1,33,10188,14.0009994506836,0,1,0.25,50,1,0,0.002,200,-2800
295,agent tracking,485,25.2886597938144,15637.5525773196,15.2030613136845,0,1,0.25,50,1,0,0.97,200,-2800
295,handler tracking,13,36.2307692307692,909,13.1548456834683,0,1,0.25,50,1,0,0.026,200,-2800
295,non-handler tracking,2,24.5,8354.5,15.5009994506836,0,1,0.25,50,1,0,0.004,200,-2800
300,agent tracking,489,24.6973415132924,15125.0143149284,15.3261528312551,0,1,0.25,50,1,0,0.978,300,-2700
300,handler tracking,5,23.8,95.4,15.8009994506836,0,1,0.25,50,1,0,0.01,300,-2700
300,non-handler tracking,6,50.1666666666667,2216.83333333333,10.5009996415853,0,1,0.25,50,1,0,0.012,300,-2700
305,agent tracking,491,24.8533604887984,14506.2912423625,15.2820585227082,0,1,0.25,50,1,0,0.982,300,-2700
305,non-handler tracking,6,41.6666666666667,1576.66666666667,12.0009995422442,0,1,0.25,50,1,0,0.012,300,-2700
305,handler tracking,3,48.6666666666667,63,10.6676663004716,0,1,0.25,50,1,0,0.006,300,-2700
310,agent tracking,484,24.1157024793388,13496.444214876,15.4514126779147,0,1,0.25,50,1,0,0.968,300,-2700
310,handler tracking,9,45.3333333333333,67.3333333333333,11.2232217788696,0,1,0.25,50,1,0,0.018,300,-2700
310,non-handler tracking,7,54.5714285714286,4169.42857142857,9.28671388966697,0,1,0.25,50,1,0,0.014,300,-2700
315,agent tracking,494,24.4311740890688,13611.5748987854,15.4402707057443,0,1,0.25,50,1,0,0.988,300,-2700
315,handler tracking,4,43.5,78.75,11.7509995996952,0,1,0.25,50,1,0,0.008,300,-2700
315,non-handler tracking,2,36,5294,13.5009994506836,0,1,0.25,50,1,0,0.004,300,-2700
