gen,energy.mean,energy.sd,intake.mean,intake.sd,moved.mean,moved.sd,assoc.mean,assoc.sd,repl,cost,regen,local,infect_percent,gen_bin,gen_abs
770,15.4109994575977,1.93219216944646,15.4109994575977,1.93219216944646,24.68,9.47106129237944,39656.386,6795.73000918367,3,0.25,50,1,0,700,-2300
775,15.6089994598886,2.27258995234035,15.6089994598886,2.27258995234035,23.806,11.1650203474386,40776.968,6962.8053063722,3,0.25,50,1,0,700,-2300
780,15.4729994637966,2.47415816075342,15.4729994637966,2.47415816075342,24.35,12.2115414050387,38758.672,8197.68891160178,3,0.25,50,1,0,700,-2300
785,15.9649994568825,2.08023040806893,15.9649994568825,2.08023040806893,21.93,10.2230191352888,40290.636,6591.49512048296,3,0.25,50,1,0,700,-2300
790,15.5689994536897,1.9588389473627,15.5689994536897,1.9588389473627,23.826,9.59519982696759,39917.876,7161.23094432094,3,0.25,50,1,0,700,-2300
795,15.7789994578878,2.06815626829296,15.7789994578878,2.06815626829296,22.946,10.1028321987883,41371.47,6315.98697878109,3,0.25,50,1,0,700,-2300
800,16.3489994544983,1.73462207216983,16.3489994544983,1.73462207216983,20.106,8.52103162533269,40660.766,5314.00316885502,3,0.25,50,1,0,800,-2200
805,16.0889994516373,1.39576225754812,16.0889994516373,1.39576225754812,21.406,6.86785985573352,41312.734,4538.59545417272,3,0.25,50,1,0,800,-2200
810,16.2489994525909,1.34986675020201,16.2489994525909,1.34986675020201,20.66,6.65951185871703,41607.398,3711.86715861471,3,0.25,50,1,0,800,-2200
815,15.6049994594117,2.14204587189722,15.6049994594117,2.14204587189722,23.788,10.5377960832702,39680.722,6885.96708022744,3,0.25,50,1,0,800,-2200
820,15.6829994590799,2.38752514557858,15.6829994590799,2.38752514557858,23.282,11.6566818805752,39681.296,7166.3125275744,3,0.25,50,1,0,800,-2200
825,15.3909994535446,1.82113509054877,15.3909994535446,1.82113509054877,24.678,8.9452977985873,38999.478,7089.77242735332,3,0.25,50,1,0,800,-2200
830,15.6449994567891,2.01727604729472,15.6449994567891,2.01727604729472,23.492,9.90283131918708,39586.248,6832.40869149022,3,0.25,50,1,0,800,-2200
835,14.9729994590282,2.24260436638199,14.9729994590282,2.24260436638199,26.75,10.9712458942887,38068.262,8778.52970131044,3,0.25,50,1,0,800,-2200
840,15.6369994569342,2.29565762037702,15.6369994569342,2.29565762037702,23.472,11.1949931551335,39595.756,7925.59313348212,3,0.25,50,1,0,800,-2200
845,15.9869994544983,1.87532332727195,15.9869994544983,1.87532332727195,21.772,9.19876353109493,40369.302,6621.46583729501,3,0.25,50,1,0,800,-2200
850,15.8489994575044,2.15177976191339,15.8489994575044,2.15177976191339,22.492,10.4828295526953,40155.816,7381.02198541926,3,0.25,50,1,0,800,-2200
855,16.182999458313,2.00422295192648,16.182999458313,2.00422295192648,20.856,9.77580670807209,40833.282,6592.68126660482,3,0.25,50,1,0,800,-2200
860,16.0949994566441,2.09330544884704,16.0949994566441,2.09330544884704,21.296,10.2237681345842,40515.73,7183.57086676924,3,0.25,50,1,0,800,-2200
865,16.5069994548818,1.81453822693462,16.5069994548818,1.81453822693462,19.264,8.85047828831096,41504.712,5931.55155594028,3,0.25,50,1,0,800,-2200
870,16.7169994535446,1.61137736271281,16.7169994535446,1.61137736271281,18.28,7.88529998870199,41910.262,4860.13368460379,3,0.25,50,1,0,800,-2200
875,16.2229994547367,1.82410817578189,16.2229994547367,1.82410817578189,20.68,8.99307237274352,41175.122,5748.45439322066,3,0.25,50,1,0,800,-2200
880,15.9449994603654,2.28720930672226,15.9449994603654,2.28720930672226,21.998,11.180877427111,39897.896,7246.60705107496,3,0.25,50,1,0,800,-2200
885,16.4609994597435,2.2213212939108,16.4609994597435,2.2213212939108,19.592,10.8925125503402,40689.772,6033.14786278975,3,0.25,50,1,0,800,-2200
890,16.7069994590799,2.24714554363697,16.7069994590799,2.24714554363697,18.342,10.9839122655507,40835.66,6047.9907109452,3,0.25,50,1,0,800,-2200
895,16.5129994578878,2.21079873735783,16.5129994578878,2.21079873735783,19.266,10.868647523864,41429.946,6187.06157209364,3,0.25,50,1,0,800,-2200
900,16.6109994593184,2.19443177482454,16.6109994593184,2.19443177482454,18.82,10.8119098585578,41102.09,5977.61687404653,3,0.25,50,1,0,900,-2100
905,16.6789994575977,2.01654375383727,16.6789994575977,2.01654375383727,18.466,9.94236114261498,41401.824,6103.14421520967,3,0.25,50,1,0,900,-2100
910,16.022999455597,1.95477829772919,16.022999455597,1.95477829772919,21.626,9.54863743965116,41097.05,6326.03207382781,3,0.25,50,1,0,900,-2100
915,16.674999455452,1.71277291919298,16.674999455452,1.71277291919298,18.446,8.34496019891305,41894.796,5577.91112401397,3,0.25,50,1,0,900,-2100
920,15.7649994568825,2.13199311098405,15.7649994568825,2.13199311098405,22.892,10.4425298111959,41118.044,7558.46751958048,3,0.25,50,1,0,900,-2100
925,15.5509994597952,2.36191809319203,15.5509994597952,2.36191809319203,23.932,11.6429589446142,40278.41,8293.06020169381,3,0.25,50,1,0,900,-2100
930,16.9069994547367,1.7831216828943,16.9069994547367,1.7831216828943,17.384,8.71530016200404,42391.412,4510.09492657854,3,0.25,50,1,0,900,-2100
935,16.8889994535446,1.49127587573328,16.8889994535446,1.49127587573328,17.452,7.31044329451536,42133.298,4415.89636411377,3,0.25,50,1,0,900,-2100
940,16.4769994606972,2.23414560006999,16.4769994606972,2.23414560006999,19.458,10.9343200387321,41789.986,6682.20315403442,3,0.25,50,1,0,900,-2100
945,16.740999452736,1.49829560573807,16.740999452736,1.49829560573807,18.206,7.36070131493565,44184.238,3978.64895717187,3,0.25,50,1,0,900,-2100
950,16.4089994536897,1.74344921027725,16.4089994536897,1.74344921027725,19.774,8.57332653383221,43258.42,4882.26575653506,3,0.25,50,1,0,900,-2100
955,16.0729994568825,2.12033192089193,16.0729994568825,2.12033192089193,21.402,10.4643873593064,41155.686,6869.26231242029,3,0.25,50,1,0,900,-2100
960,15.3489994558354,2.1919180817004,15.3489994558354,2.1919180817004,24.928,10.716365848271,40996.054,7712.80711377074,3,0.25,50,1,0,900,-2100
965,13.7329994586965,2.18121324716955,13.7329994586965,2.18121324716955,32.714,10.6941541913204,38141.516,10398.4600556429,3,0.25,50,1,0,900,-2100
970,15.1789994573593,2.12021378098134,15.1789994573593,2.12021378098134,25.758,10.3598305090553,41129.736,8371.54016198163,3,0.25,50,1,0,900,-2100
975,15.812999458458,2.20326224828292,15.812999458458,2.20326224828292,22.682,10.7558473634117,41737.306,7251.54011921365,3,0.25,50,1,0,900,-2100
980,16.0209994525909,1.61642370789558,16.0209994525909,1.61642370789558,21.664,7.86962298536999,43080.918,5727.96778107892,3,0.25,50,1,0,900,-2100
985,16.7629994585514,2.04100151483595,16.7629994585514,2.04100151483595,18.106,10.0395392671873,43098.958,5306.59908603956,3,0.25,50,1,0,900,-2100
990,16.7429994558354,1.85750814856822,16.7429994558354,1.85750814856822,18.18,9.07084121350613,43080.082,5286.39812097641,3,0.25,50,1,0,900,-2100
995,16.7249994590282,2.27732214388691,16.7249994590282,2.27732214388691,18.276,11.2529588182099,42288.212,6436.46546751282,3,0.25,50,1,0,900,-2100
1000,16.6889994576494,2.22633531481373,16.6889994576494,2.22633531481373,18.416,10.9039780573399,41397.112,6241.6499886342,3,0.25,50,1,0,1000,-2000
1005,16.7909994549751,1.72854726027208,16.7909994549751,1.72854726027208,17.956,8.57841724824399,43211.884,4870.79746555376,3,0.25,50,1,0,1000,-2000
1010,16.6389994556904,1.93867810941364,16.6389994556904,1.93867810941364,18.666,9.57757296018231,41496.228,6061.01941629834,3,0.25,50,1,0,1000,-2000
1015,16.0809994570275,2.05573634864377,16.0809994570275,2.05573634864377,21.362,10.0950868027526,41748.772,6768.87026358953,3,0.25,50,1,0,1000,-2000
1020,15.9209994610806,2.31177168288158,15.9209994610806,2.31177168288158,22.16,11.2626860114444,40890.588,7727.93031024582,3,0.25,50,1,0,1000,-2000
1025,16.260999455597,1.89408949549703,16.260999455597,1.89408949549703,20.536,9.23597913711603,42325.334,5786.75487838296,3,0.25,50,1,0,1000,-2000
1030,16.790999455452,1.58837834885774,16.790999455452,1.58837834885774,17.962,7.79628887615646,43569.506,4724.21011603049,3,0.25,50,1,0,1000,-2000
1035,16.7129994602203,2.20335319230151,16.7129994602203,2.20335319230151,18.312,10.8440695169007,41926.718,6404.66544554943,3,0.25,50,1,0,1000,-2000
1040,16.536999455452,1.78074309609875,16.536999455452,1.78074309609875,19.166,8.83258019753525,42898.288,5855.59097995284,3,0.25,50,1,0,1000,-2000
1045,16.088999455452,1.88556798386537,16.088999455452,1.88556798386537,21.3,9.29380167095242,41773.398,6630.9505860733,3,0.25,50,1,0,1000,-2000
1050,16.0229994566441,2.02625943842022,16.0229994566441,2.02625943842022,21.676,9.91259517412934,41295.708,6489.99393692619,3,0.25,50,1,0,1000,-2000
1055,15.736999458458,2.14837959277753,15.736999458458,2.14837959277753,23.016,10.5676437387138,40639.384,7733.30516934567,3,0.25,50,1,0,1000,-2000
1060,15.9369994618893,2.41652288898155,15.9369994618893,2.41652288898155,22.008,11.8663202008972,39800.186,8173.7340875068,3,0.25,50,1,0,1000,-2000
1065,15.1069994589349,2.29112686855615,15.1069994589349,2.29112686855615,26.078,11.2181821710313,40871.8,8154.2150335656,3,0.25,50,1,0,1000,-2000
1070,16.4969994581263,2.17979053109278,16.4969994581263,2.17979053109278,19.366,10.654721497081,41240.348,6153.99929652085,3,0.25,50,1,0,1000,-2000
1075,16.5929994635165,2.46773481185281,16.5929994635165,2.46773481185281,18.914,12.0800023557046,39903.506,7298.43617737625,3,0.25,50,1,0,1000,-2000
1080,16.5969994525909,1.59558004992294,16.5969994525909,1.59558004992294,18.874,7.85579729258618,41489.53,5078.36782289243,3,0.25,50,1,0,1000,-2000
1085,15.6889994546433,1.93653200670176,15.6889994546433,1.93653200670176,23.304,9.4421338575328,39911.144,6715.48244105338,3,0.25,50,1,0,1000,-2000
1090,15.4209994605104,2.28868431892777,15.4209994605104,2.28868431892777,24.514,11.2050394831807,38671.782,8138.37673755158,3,0.25,50,1,0,1000,-2000
1095,14.9449994575044,2.13400370349045,14.9449994575044,2.13400370349045,26.768,10.3688573336125,36917.376,9632.40063736457,3,0.25,50,1,0,1000,-2000
1100,14.9609994544983,1.92087987307888,14.9609994544983,1.92087987307888,26.73,9.45430419097413,38668.454,8296.39267288195,3,0.25,50,1,0,1100,-1900
1105,15.0589994575977,2.07249277399293,15.0589994575977,2.07249277399293,26.29,10.1510584657932,38476.272,8577.53356870497,3,0.25,50,1,0,1100,-1900
1110,15.7669994535446,1.74048916732402,15.7669994535446,1.74048916732402,22.946,8.61716862956626,40981.534,6017.67902621676,3,0.25,50,1,0,1100,-1900
1115,15.7329994535446,1.8305402711831,15.7329994535446,1.8305402711831,23.068,8.96974294933552,40448.392,6176.73314520144,3,0.25,50,1,0,1100,-1900
1120,16.0029994575044,2.06458733537732,16.0029994575044,2.06458733537732,21.848,10.0953815905551,41341.652,5681.69878866755,3,0.25,50,1,0,1100,-1900
1125,15.946999458458,2.0841716211119,15.946999458458,2.0841716211119,22.122,10.1879686596898,41214.304,6343.80215068519,3,0.25,50,1,0,1100,-1900
1130,16.2689994582196,2.15997842501591,16.2689994582196,2.15997842501591,20.542,10.5837738324793,40612.996,6015.42776053944,3,0.25,50,1,0,1100,-1900
1135,16.5629994525909,1.54367153163563,16.5629994525909,1.54367153163563,19.048,7.60956680856592,41857.378,4718.17658887027,3,0.25,50,1,0,1100,-1900
1140,16.1829994577428,2.13306722055752,16.1829994577428,2.13306722055752,20.912,10.5602696267273,40285.564,6491.80890164945,3,0.25,50,1,0,1100,-1900
1145,15.0609994567891,2.12636843808229,15.0609994567891,2.12636843808229,26.294,10.3845675155478,38562.766,7759.55116949092,3,0.25,50,1,0,1100,-1900
1150,15.8089994536897,1.76900952731374,15.8089994536897,1.76900952731374,22.812,8.68490132483059,41123.432,5049.31751905071,3,0.25,50,1,0,1100,-1900
1155,14.792999453783,2.04379306973454,14.792999453783,2.04379306973454,27.612,10.0486519898754,39379.826,7901.94833688259,3,0.25,50,1,0,1100,-1900
1160,14.2329994617542,2.60379246505248,14.2329994617542,2.60379246505248,30.332,12.7361766787677,36989.058,9806.04853395784,3,0.25,50,1,0,1100,-1900
1165,11.9869994682849,2.47913209095557,11.9869994682849,2.47913209095557,41.25,12.1310273121156,34863.524,11425.8854702374,3,0.25,50,1,0,1100,-1900
1170,14.1669994590799,2.3438068748007,14.1669994590799,2.3438068748007,30.656,11.4290380093707,37131.678,9399.26010744733,3,0.25,50,1,0,1100,-1900
1175,14.8829994658073,2.65295155468611,14.8829994658073,2.65295155468611,27.218,12.9663691702387,38181.22,9102.28338920486,3,0.25,50,1,0,1100,-1900
1180,15.2209994575044,2.17279587542468,15.2209994575044,2.17279587542468,25.604,10.6776030274976,39223.552,7584.0577986116,3,0.25,50,1,0,1100,-1900
1185,14.4989994609873,2.3394319072004,14.4989994609873,2.3394319072004,29.032,11.429095521908,37474.906,9454.62458616388,3,0.25,50,1,0,1100,-1900
1190,14.8609994650404,2.62338788374006,14.8609994650404,2.62338788374006,27.274,12.8518194246982,37344.882,9282.73873449543,3,0.25,50,1,0,1100,-1900
1195,13.9909994598886,2.3282485441176,13.9909994598886,2.3282485441176,31.486,11.4511161080587,37834.698,9156.15927888307,3,0.25,50,1,0,1100,-1900
1200,14.9309994559288,2.09329013850555,14.9309994559288,2.09329013850555,26.874,10.3190644043131,38478.04,8273.86720654272,3,0.25,50,1,0,1200,-1800
